PI,H,γ,Vs,αgR,PGA
13,64,20,424,0.65,0.47
2,71,16,550,0.95,0.53
32,31,23,373,0.1,0.14
0,48,20,583,0.55,0.7
16,83,19,490,0.25,0.31
12,24,17,293,0.5,0.58
7,92,17,167,0.6,0.08
22,18,19,173,0.05,0.11
36,97,13,469,0.8,0.49
41,41,19,241,0.1,0.11
45,90,18,499,0.8,0.57
42,91,13,525,0.35,0.42
38,37,16,290,0.95,0.55
57,47,18,305,0.2,0.25
44,63,18,329,0.6,0.45
11,85,15,101,0.55,0.04
18,25,16,157,0.1,0.11
21,61,14,389,0.45,0.32
22,83,24,229,0.6,0.12
39,29,23,237,0.55,0.51
51,75,16,467,0.45,0.43
32,21,17,255,0.4,0.44
41,33,18,566,0.4,0.61
46,36,13,131,0.9,0.19
35,70,16,163,0.95,0.16
17,87,16,382,0.45,0.34
7,100,16,419,0.3,0.25
26,68,21,537,0.7,0.67
25,70,13,265,0.95,0.25
48,22,12,602,0.2,0.29
39,15,21,239,0.8,0.81
29,24,17,224,0.8,0.43
50,48,15,358,0.85,0.56
46,49,20,639,0.9,1.02
39,29,21,129,0.7,0.2
54,90,16,188,0.7,0.1
25,89,21,448,0.9,0.43
5,97,13,455,0.85,0.42
59,99,14,491,0.4,0.47
32,96,13,493,0.4,0.44
10,19,15,298,0.5,0.75
4,43,13,178,0.15,0.16
34,39,22,502,0.6,0.63
30,29,15,372,0.75,0.69
37,38,14,170,0.7,0.21
40,81,20,454,0.25,0.32
26,23,18,180,0.9,0.31
31,73,22,484,0.35,0.32
37,58,16,357,1,0.52
9,34,24,230,0.45,0.23
33,82,16,535,0.75,0.55
7,80,12,433,0.8,0.41
43,16,12,484,0.4,0.68
56,57,12,328,0.2,0.25
53,54,15,403,0.6,0.67
29,58,23,369,0.2,0.23
44,73,22,577,0.4,0.52
54,45,21,649,0.45,0.51
14,66,16,458,0.5,0.49
34,86,22,110,0.85,0.04
24,29,21,497,1,1.16
40,18,17,533,0.45,0.57
52,69,17,428,0.05,0.07
45,62,15,542,0.9,0.76
53,41,12,291,0.55,0.57
51,88,20,523,0.25,0.32
21,57,15,495,0.65,0.67
50,77,14,101,0.8,0.05
55,67,21,622,0.95,0.83
33,28,17,611,1,1.24
5,26,23,421,0.35,0.49
3,39,15,529,0.5,0.79
26,60,18,539,0.9,0.67
34,44,14,482,0.5,0.85
57,48,15,598,0.55,0.97
8,16,18,434,0.85,1.01
11,50,17,510,0.35,0.43
0,61,14,122,0.4,0.07
46,35,21,497,1,1.15
28,10,17,645,0.25,0.32
37,88,23,304,0.25,0.24
16,16,22,479,0.8,0.96
6,63,17,459,0.95,0.46
42,48,24,124,0.2,0.23
42,32,23,505,0.25,0.38
48,97,19,168,1,0.15
36,45,24,295,0.3,0.34
37,61,15,518,0.1,0.12
19,46,20,190,0.9,0.2
3,31,18,218,0.15,0.2
33,66,12,364,0.6,0.47
5,57,16,476,0.05,0.08
35,43,21,439,0.9,0.77
23,13,20,184,0.3,0.4
3,56,15,443,0.7,0.49
19,97,14,425,0.9,0.36
60,14,21,200,0.15,0.25
40,36,23,556,0.7,0.72
29,65,18,282,0.6,0.26
16,70,15,241,0.25,0.16
24,99,15,307,0.5,0.29
34,94,12,141,0.15,0.1
44,91,17,393,0.65,0.4
25,31,18,487,0.75,0.81
6,50,23,413,0.45,0.4
47,81,23,614,0.1,0.11
53,52,21,118,0.35,0.1
33,79,15,310,0.85,0.41
14,89,13,148,1,0.09
2,84,17,400,0.45,0.31
29,41,13,178,0.75,0.2
5,10,13,234,0.25,0.57
31,25,15,348,0.6,0.71
6,26,14,581,0.3,0.33
2,79,20,156,0.85,0.05
22,60,23,169,0.35,0.1
11,52,20,404,0.65,0.45
49,82,22,165,0.1,0.08
31,94,19,581,0.1,0.1
19,36,22,115,0.45,0.1
59,26,24,562,0.85,0.94
25,12,22,349,0.3,0.41
38,53,15,641,0.7,0.84
22,72,23,255,0.15,0.18
49,16,13,323,0.9,1.26
48,76,23,390,0.35,0.35
57,77,19,473,1,0.67
29,34,18,265,0.1,0.18
20,27,15,366,0.8,0.76
56,78,22,341,0.5,0.53
41,72,16,598,0.2,0.25
50,74,17,430,0.7,0.55
3,34,22,446,0.5,0.67
38,79,16,128,0.75,0.08
43,78,22,196,0.15,0.15
35,14,18,575,0.05,0.07
43,77,16,618,0.05,0.07
8,66,23,527,0.65,0.51
52,44,17,138,0.65,0.14
11,80,20,274,0.8,0.23
32,14,18,614,0.95,1.27
28,41,23,487,0.55,0.8
43,62,18,171,0.4,0.22
36,15,18,278,0.85,0.97
15,34,14,584,0.25,0.46
30,35,17,172,0.55,0.28
6,68,23,586,0.75,0.6
7,98,19,311,0.6,0.14
59,62,14,569,0.4,0.68
39,39,24,494,0.35,0.44
47,86,19,624,0.65,0.69
49,46,17,407,0.85,0.74
24,64,17,431,0.3,0.37
27,39,18,412,0.75,0.81
11,58,16,342,1,0.33
59,79,14,517,0.65,0.68
32,74,17,105,0.1,0.05
21,14,22,246,0.25,0.55
17,68,18,498,0.75,0.52
12,100,24,254,0.1,0.1
5,55,22,569,0.1,0.11
54,46,22,184,0.95,0.25
2,24,21,275,1,0.41
10,40,22,378,0.5,0.5
18,30,21,368,0.25,0.45
27,34,19,392,0.55,0.79
58,27,21,648,0.9,1.08
52,99,23,642,0.8,0.57
26,20,20,520,0.05,0.07
26,80,15,228,0.1,0.1
8,98,20,525,0.2,0.2
47,46,15,518,0.7,0.71
54,95,23,562,0.05,0.06
25,83,16,279,0.6,0.19
1,23,23,198,0.7,0.26
20,11,23,411,0.35,0.63
34,56,16,211,0.4,0.29
30,62,23,418,0.55,0.52
43,33,20,607,0.1,0.11
55,70,19,478,0.45,0.48
35,56,15,291,0.85,0.44
54,50,16,268,0.75,0.67
16,60,22,119,0.45,0.08
8,38,21,232,0.15,0.17
45,25,13,222,0.35,0.42
45,32,14,522,0.9,1.26
54,55,16,345,0.85,0.55
7,54,17,530,0.25,0.39
20,24,20,465,0.1,0.13
50,79,23,143,0.75,0.1
30,66,20,115,0.9,0.09
32,42,21,331,0.1,0.15
17,15,14,252,0.2,0.39
13,22,19,134,0.95,0.19
15,48,13,192,0.8,0.2
33,98,24,554,0.3,0.32
19,92,14,182,0.6,0.08
57,58,21,416,0.65,0.66
43,51,15,342,0.15,0.29
48,22,17,124,1,0.24
9,90,19,319,0.65,0.17
58,82,13,326,0.3,0.33
24,85,21,247,0.9,0.2
11,95,17,339,0.4,0.29
58,70,16,334,1,0.47
4,56,16,375,0.75,0.37
18,97,23,399,0.45,0.36
16,73,18,350,0.65,0.29
1,92,14,545,0.75,0.43
41,50,22,481,0.25,0.4
37,59,16,154,1,0.17
43,75,16,468,0.6,0.49
59,91,21,593,0.8,0.58
36,73,14,318,0.6,0.32
8,29,17,600,0.25,0.35
54,51,18,406,0.1,0.13
47,36,13,385,0.35,0.5
38,27,22,612,0.8,0.9
0,40,18,287,0.05,0.08
60,76,16,410,0.45,0.39
34,95,12,104,0.3,0.08
49,86,23,542,0.55,0.52
4,52,19,595,0.2,0.21
58,41,14,476,0.4,0.79
9,64,19,394,0.35,0.3
59,100,18,120,0.85,0.06
42,92,22,571,0.85,0.58
24,71,15,624,0.2,0.27
23,14,13,544,0.4,0.54
36,67,13,604,0.25,0.44
31,40,22,324,0.95,0.58
37,68,19,642,1,0.86
22,98,24,384,0.3,0.24
21,75,24,592,0.95,0.6
46,33,18,381,0.95,0.91
35,96,14,206,0.05,0.06
53,50,20,409,0.9,0.65
55,98,19,112,0.95,0.09
45,40,13,516,0.05,0.11
3,59,16,258,0.35,0.14
54,77,13,551,0.1,0.16
28,93,14,114,0.3,0.09
29,18,19,270,0.15,0.24
47,21,23,110,0.85,0.28
51,43,18,353,0.65,0.69
34,12,19,106,0.3,0.24
10,33,13,221,0.65,0.25
2,71,15,201,0.65,0.08
0,68,15,576,1,0.59
6,84,21,485,0.9,0.39
56,78,21,159,0.25,0.14
29,93,12,387,0.3,0.31
10,51,14,294,0.8,0.36
55,44,17,299,0.2,0.24
15,75,24,558,1,0.61
19,40,23,450,0.3,0.44
38,84,19,354,0.6,0.34
28,26,13,150,0.6,0.22
31,54,17,194,0.2,0.2
2,20,22,362,0.55,0.84
49,19,23,408,0.35,0.53
46,84,14,629,0.3,0.34
38,57,24,286,0.4,0.39
33,85,20,303,0.1,0.11
12,30,13,541,0.3,0.38
6,97,20,346,0.8,0.26
15,18,24,283,0.25,0.49
58,13,19,640,0.55,0.81
17,33,23,364,0.75,0.71
26,79,19,371,0.9,0.37
15,10,12,195,0.65,0.6
18,76,23,308,0.05,0.05
52,23,18,547,0.05,0.08
20,44,24,214,0.45,0.28
25,46,17,526,0.75,0.7
53,76,16,441,0.35,0.42
15,35,23,538,0.75,0.74
15,38,20,162,0.7,0.15
1,31,20,550,1,0.97
41,32,16,260,0.55,0.54
9,28,12,450,0.5,0.93
14,55,13,212,0.1,0.13
60,47,21,198,0.9,0.28
30,11,15,315,0.45,0.74
18,51,19,428,0.65,0.56
22,84,18,461,0.4,0.42
24,80,22,214,0.4,0.21
44,43,18,605,0.4,0.68
4,34,19,207,0.1,0.11
39,82,21,615,0.05,0.06
27,51,18,588,0.4,0.66
36,60,17,445,0.2,0.23
35,45,20,621,0.05,0.08
47,37,20,461,0.55,0.92
55,15,18,149,0.95,0.49
23,53,16,398,0.95,0.57
37,49,23,312,0.3,0.35
